Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
1	18	3210	1	4	4822	4	12	7114	2	11	9503	4	10	5346	2	8	6088	4	16	6794	4	2	7511	5	17	3878	4	13	6361	2	5	6281	2	3	4722	2	6	8416	4	15	4161	5	9	3552	4	7	7450	2	14	8427	3	1	3812	2	19	7232	US	2	115	77	6	5	6	5	7	1	6	5	4	6	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	3	2	2	1	38	1440	900	1	3	2	16	1	2	2	Project Management
4	5	12022	1	9	8119	5	17	5763	4	13	10133	1	8	4950	1	1	7363	5	4	7168	5	10	8432	4	11	4888	5	2	8712	1	16	5715	5	6	5659	2	18	10021	2	19	10450	3	15	7250	4	14	6235	4	7	7663	3	3	8204	4	12	17982	US	10	157	212	5	1	6	2	7	5	5	6	7	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	1	1	30	375	667	1	7	1	17	2	1	4	
1	7	7455	1	13	9071	3	16	11423	1	8	9873	3	17	6847	1	10	7744	3	15	7600	4	12	14080	5	1	9693	2	19	9120	3	3	19360	1	18	15200	2	2	18108	5	11	6528	5	9	5424	3	14	9753	1	6	8920	1	4	9328	2	5	10680	GB	4219	207	279	4	3	4	2	6	5	5	5	7	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	1	1	1	51	1920	1080	1	2	1	16	0	1	2	humanities
5	2	5522	1	11	5412	5	18	4304	5	6	2037	5	14	2657	1	10	2105	1	17	7369	5	4	6715	1	5	1186	2	13	669	2	9	4821	1	19	4419	5	3	2512	1	16	3779	5	12	6510	1	7	10820	4	8	5608	5	1	6105	5	15	3791	MY	6	118	152	1	7	5	7	7	7	3	7	3	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	2	2	2	14	360	640	1	3	4	11	2	1	2	
4	9	6700	3	16	4700	5	19	7100	5	3	11100	3	10	6100	1	12	19500	4	11	14500	3	4	6600	3	17	4500	5	1	27800	2	7	7100	3	18	8800	4	8	8300	5	13	8200	3	2	9300	5	14	10400	5	6	10200	1	5	8200	1	15	7700	US	8	187	102	1	4	2	6	4	7	4	7	7	4	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	1	20	1280	902	1	1	1	16	1	1	2	
5	12	12537	5	10	4991	5	5	5907	5	16	4309	4	2	12996	3	13	3966	5	11	3199	3	19	3573	2	8	3173	5	4	2988	4	15	3259	4	1	4705	1	3	3598	3	7	24224	4	6	2597	3	17	5161	5	18	5850	4	9	2445	4	14	3231	CA	270	266	85	5	7	7	6	5	5	3	1	2	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	3	2	1	14	1280	720	1	4	5	17	2	1	1	N/A
5	19	4294	2	1	21401	5	6	5732	5	14	5040	5	12	5255	5	3	2999	5	9	16190	5	15	5005	5	10	4178	5	8	3100	5	13	3717	2	4	8780	1	16	5078	4	7	4597	4	11	7280	5	5	4409	5	17	3777	1	18	6301	5	2	9277	US	4	127	147	2	3	5	7	7	5	1	1	3	3	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	2	1	1	15	414	736	2	2	1	16	2	1	2	
2	5	8297	4	9	5286	2	10	10400	4	3	13964	3	13	5913	3	15	3908	5	4	10510	4	11	9566	3	14	5278	5	8	3896	2	17	5295	5	7	5294	3	16	3798	1	2	6437	4	6	4529	4	18	8308	3	19	4952	5	1	6627	2	12	14451	US	10	137	161	3	6	3	3	3	6	4	6	3	5	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	2	1	1	30	600	1024	1	12	0	16	1	2	2	
5	3	24828	4	17	15756	5	15	7185	5	6	18484	4	9	9117	3	13	16818	1	2	21576	5	5	5418	4	8	11740	4	10	16378	4	12	8724	4	16	12267	2	19	16355	5	7	8726	4	1	37351	5	4	8855	4	11	7516	4	18	5842	4	14	7293	US	79	261	447	2	5	6	6	5	5	5	6	3	3	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	2	1	56	320	568	1	7	1	16	1	2	5	
5	7	5218	4	8	6211	4	11	5375	5	12	6838	5	4	3975	2	16	18249	1	17	7992	5	13	4441	2	9	4095	5	2	7078	5	3	3821	5	14	11458	2	15	4233	1	19	3852	3	10	5605	5	1	14483	5	5	3960	3	6	7933	1	18	9141	PL	40	134	180	7	5	7	1	7	6	2	1	7	4	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	2	20	360	640	1	1	1	16	2	1	3	Psychology
4	8	2617	2	1	3400	3	18	4244	4	9	3519	1	6	2329	1	7	1672	5	10	3586	5	3	5547	5	19	2861	2	5	3700	1	16	4740	2	15	4435	2	11	3690	5	4	1945	5	14	3909	3	12	3550	4	2	4715	4	17	2289	2	13	3824	US	23	67	67	2	2	6	7	5	7	6	1	1	5	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	2	1	20	1440	900	1	2	1	17	1	1	3	psychology
3	18	7565	3	19	10727	4	4	10397	5	9	11276	4	15	6527	3	7	8733	3	10	13966	2	3	13594	3	5	10674	5	13	7601	4	2	9699	4	6	16767	4	14	7066	3	16	6839	3	1	7825	5	8	8853	4	17	7547	4	11	6962	4	12	9786	AU	16	233	311	5	1	6	2	7	2	4	1	6	4	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	3	2	2	1	57	1366	768	1	4	1	16	1	3	7	business
5	5	5275	1	12	11221	5	6	5772	4	14	94860	5	4	7464	2	13	4207	3	9	15462	4	11	6072	5	15	6121	5	2	12988	1	19	27574	3	18	8641	3	10	8626	4	1	8763	5	7	8295	5	3	11615	4	16	7980	3	17	6602	4	8	9775	US	32	269	155	6	3	2	5	5	2	5	1	2	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	4	2	2	1	50	1600	900	1	7	1	16	1	2	2	
1	15	78174	1	9	2605	2	17	4592	4	2	5296	1	5	2549	1	11	2054	2	7	9422	2	18	2991	5	8	3828	4	14	3051	1	6	3392	4	13	9212	1	3	994	1	1	6411	5	12	70448	4	4	56801	4	10	30180	2	19	12151	1	16	2170	US	5315	312	103	1	1	5	5	5	5	5	6	6	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	2	2	2	1	21	1920	1080	1	2	3	16	1	1	2	Studio Art
1	13	5291	1	18	5420	4	14	4211	5	9	30231	5	10	9950	2	1	6612	3	7	5440	5	8	3499	1	3	23060	4	19	3461	4	4	3400	5	5	4519	4	16	6339	1	2	8604	2	12	3778	5	6	3460	4	15	4300	5	11	5020	5	17	4380	US	9	142	217	5	6	7	5	5	5	1	1	6	7	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	2	1	18	1366	768	1	2	1	16	1	1	3	Chemistry
4	6	4742	4	5	9255	4	13	12887	2	2	22481	2	15	6784	2	9	19241	3	8	17688	4	12	5217	4	1	10156	3	18	7288	2	17	5575	3	3	11702	2	16	11023	1	11	10816	2	4	7706	3	14	11616	3	19	6791	2	10	5792	2	7	16312	RU	1236	204	97	2	2	4	5	5	7	6	4	5	4	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	2	3	1	2	18	1536	864	2	1	1	16	2	1	2	International relationships
1	6	3524	1	15	5054	1	18	3945	3	1	8990	1	4	4533	1	2	3698	2	19	6407	1	14	6664	5	5	3776	1	17	4888	1	10	3395	1	3	3943	5	8	2819	1	13	3761	4	9	5488	3	11	7794	2	16	4682	2	12	3429	1	7	2981	DE	3	91	134	6	3	6	5	7	5	6	5	3	2	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	3	2	3	2	23	375	667	1	1	5	16	1	1	2	Media Engineering
2	3	7826	2	12	4836	5	14	3687	4	6	5832	5	17	4594	2	5	4575	5	15	6321	2	16	8297	4	4	3637	4	7	4375	2	10	4189	2	18	4906	4	9	4434	5	13	4294	4	19	3300	4	8	5500	5	1	5480	4	11	2947	4	2	7255	US	5	97	107	1	5	7	7	1	3	2	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	36	360	640	1	1	1	16	1	3	2	Government
5	1	3800	2	7	6724	5	6	6358	5	13	6817	3	8	5659	1	15	11666	1	17	7151	4	11	27705	2	5	7065	4	19	7150	4	10	5860	5	18	9848	2	2	9462	5	4	6527	2	9	4357	5	3	11732	4	14	8472	4	16	8124	4	12	7146	GB	34	178	246	6	5	7	1	7	6	5	1	6	2	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	2	1	1	51	2560	1440	1	6	1	16	2	2	3	
1	10	4845	1	6	2641	1	18	4352	4	17	4073	4	16	3160	1	15	2885	4	11	4005	4	7	3248	5	5	2250	4	8	4747	3	2	5321	4	3	3006	4	13	3926	5	9	3510	5	12	2395	4	19	4450	2	1	3549	2	4	3451	5	14	2768	US	8	69	113	6	5	7	7	6	1	7	5	2	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	3	2	1	18	1366	768	1	6	2	16	1	1	2	
2	12	4585	1	13	3379	5	14	5017	5	1	1678	5	17	3278	5	3	3316	3	15	6101	5	5	5248	4	19	3111	5	6	2239	5	18	2400	3	10	29400	3	9	4371	5	4	2560	4	16	2378	5	2	3754	5	8	3036	3	7	3224	5	11	3456	PH	692	110	119	2	6	5	6	3	7	6	5	4	5	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	2	2	2	2	21	1280	720	1	1	1	11	2	1	3	Business
1	8	5967	1	7	4469	5	17	7706	4	15	5201	3	13	6652	2	10	3638	3	19	11255	1	9	5968	5	14	3080	5	5	3924	2	18	3809	5	16	4393	4	1	5836	5	11	3321	5	3	3726	4	4	4436	4	6	3566	4	12	3017	4	2	5753	AE	129	96	114	5	2	4	2	5	5	5	2	6	5	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	1	2	1	29	1280	720	2	4	0	16	2	1	4	History
5	16	4681	3	6	4852	4	1	8819	4	4	5367	3	11	5376	5	17	3872	2	10	11013	3	2	14179	1	5	5301	5	18	3789	4	9	3140	5	15	4801	1	14	5555	3	13	3839	3	7	3259	5	12	5124	5	3	6200	4	8	6525	5	19	2900	NZ	34	109	142	1	6	7	6	2	6	2	1	2	5	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	3	2	1	1	54	3072	1728	1	2	1	16	2	2	2	electrical engineering
2	2	7889	1	9	2959	4	18	5073	3	4	6799	3	11	3607	1	10	2540	5	8	8086	2	7	3195	5	16	2514	2	6	3251	2	5	4846	1	14	3252	4	13	3357	5	3	3136	5	1	4312	5	12	3405	1	17	3949	2	19	3404	1	15	2408	US	2	79	90	2	5	1	2	3	5	1	7	5	3	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	2	2	1	1	25	1536	864	1	1	1	13	1	1	3	
4	10	4118	4	4	6021	3	18	8104	5	5	4609	5	14	4743	4	9	2859	4	3	6343	5	16	5403	4	19	3262	5	13	5619	5	1	5681	5	8	5314	2	7	3701	1	2	5941	3	12	4076	5	15	6725	5	6	737	5	17	4122	5	11	8258	SI	3	105	172	3	6	7	3	6	5	5	2	6	2	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	3	2	1	2	47	360	640	1	1	1	16	1	2	2	Management
5	7	3339	1	17	2771	5	6	4224	1	12	7456	5	4	2921	1	18	4187	5	2	8656	5	1	5641	4	19	4495	5	5	7728	2	8	5740	5	14	11048	4	13	3439	5	9	2620	5	10	2902	5	16	3106	5	3	2686	1	11	4779	4	15	15173	GB	6	104	140	2	5	1	5	6	3	5	7	3	3	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	2	2	2	1	19	1366	768	1	2	1	16	1	1	4	Sociology
4	3	2998	1	9	8873	4	2	14309	4	5	14604	5	10	4470	1	12	2668	4	1	9771	4	16	4228	5	17	5570	4	11	6760	4	13	5000	2	6	9465	2	19	12224	4	8	7811	5	14	3566	4	18	8037	2	7	19070	5	4	3167	4	15	5187	US	11	148	146	4	5	5	5	5	4	4	2	5	5	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	2	3	2	1	20	360	740	1	2	2	17	1	1	1	Sociology
4	14	5652	2	3	11000	5	2	7482	5	16	6477	4	12	4337	1	18	5289	1	11	6813	4	1	8559	4	17	4901	5	15	7736	4	5	8849	4	9	7539	1	6	4142	5	10	6029	1	7	5300	5	8	5158	5	4	12336	5	13	8312	4	19	5839	US	9	150	162	2	5	7	2	5	7	6	5	6	7	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	3	3	1	1	52	640	360	2	6	1	10	1	2	2	Criminal Justice
2	5	8693	2	2	18617	4	3	9285	2	15	14524	4	18	12138	1	1	17271	4	6	7943	4	4	7050	4	17	11899	5	14	13502	2	8	4262	5	19	5085	2	10	3846	2	13	11819	3	11	12735	4	12	9407	4	9	5267	3	7	6020	4	16	13715	VN	545	210	276	3	1	6	5	5	6	7	1	6	3	1	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	2	3	2	2	19	1152	720	1	3	1	11	2	1	2	
4	2	14386	2	10	6240	4	17	8872	5	6	5822	4	4	7241	4	7	9864	1	11	6983	3	9	8336	3	19	7199	5	14	12638	2	18	7057	5	3	8575	1	15	16664	5	16	5848	1	13	8096	4	5	11568	5	8	11824	1	12	5441	5	1	13827	CA	13	177	168	1	6	7	5	5	7	3	4	5	2	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	4	1	1	1	70	1680	1050	1	6	1	16	1	2	5	medicine
3	7	6560	2	19	3648	2	8	5072	4	12	4062	3	16	4791	4	11	4762	5	15	3893	4	9	72577	4	6	10271	4	5	6239	2	13	8591	4	1	8147	4	4	3161	2	10	2528	5	3	3623	4	14	4227	4	2	4528	2	18	3481	4	17	17631	US	13305	178	118	6	5	5	2	7	5	6	6	6	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	1	1	1	27	1920	1080	1	1	1	16	2	1	5	Paramedicine
2	1	6157	1	12	3340	2	5	4340	5	10	7954	4	15	4786	2	4	4669	1	18	6562	5	8	4122	4	6	7327	2	7	3581	2	17	4848	4	11	7819	2	9	3276	2	13	4050	4	3	3276	1	19	6198	2	2	9211	4	16	2766	1	14	5858	CA	10	100	113	3	3	6	3	5	5	5	4	5	3	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	1	25	1920	1080	1	0	0	10	2	1	0	
5	12	6967	3	11	8827	5	5	6056	5	1	17066	3	13	7614	3	14	12066	3	4	3952	3	16	8869	4	8	8537	3	2	10098	2	3	18783	4	17	10690	4	19	11987	3	9	1500	3	18	7735	4	10	14114	4	7	5762	4	6	7640	3	15	7192	CH	8	216	368	1	2	7	1	2	5	5	1	7	4	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	2	1	2	40	1280	800	2	6	1	17	2	2	2	Cell Biology
5	3	10187	5	2	5695	4	1	18039	5	5	6957	4	10	4284	5	4	6081	4	6	6447	5	7	3693	2	12	6699	4	9	5234	4	15	3007	5	13	5343	4	11	5323	4	14	4167	1	18	4668	5	19	5003	4	17	2839	3	8	3723	4	16	5356	US	23	113	119	6	5	5	5	7	5	6	1	3	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	2	1	1	17	1300	731	3	12	1	16	2	1	2	
2	3	10039	1	19	6162	3	17	9287	2	16	8605	2	4	7616	1	11	4260	4	5	11516	3	13	14245	5	7	12287	1	18	12080	1	9	5093	1	8	4976	5	12	5441	5	2	5290	5	1	4442	3	15	11030	1	10	8803	4	14	7903	3	6	8728	US	4	159	105	1	5	5	7	6	7	5	5	1	7	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	1	1	1	24	1366	768	2	2	1	16	1	1	4	
2	9	5606	2	7	5397	4	3	5337	5	18	3565	4	13	3967	2	15	3741	4	5	3933	3	2	12873	4	17	2049	3	4	8020	2	10	9422	4	19	5548	3	14	5004	4	12	6883	4	1	5740	4	6	5255	3	16	4452	4	11	5140	4	8	4877	GB	12	108	121	6	5	4	5	3	3	5	2	5	3	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	4	2	1	1	32	360	720	1	2	1	16	1	2	2	Economics & Politics
5	15	3959	1	2	2676	5	11	2055	5	14	2421	5	17	2015	1	4	2221	3	19	6293	4	10	3810	5	3	4096	1	7	3224	1	5	1736	5	1	3014	5	8	1905	2	6	3820	2	16	3175	3	9	6838	1	18	2015	5	12	3156	5	13	4973	US	92	64	102	2	2	6	6	7	6	6	5	4	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	2	2	1	15	1536	864	1	12	3	16	2	1	2	
3	16	2163	3	19	2310	4	6	4261	3	14	2643	4	9	2601	4	3	3332	3	2	5611	5	8	2970	3	13	2368	4	11	2844	5	17	3203	4	10	2968	2	12	3858	3	7	2241	3	18	1858	3	15	4731	4	4	1906	1	5	2892	3	1	4289	US	31	59	101	5	1	6	1	6	4	3	2	7	3	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	3	1	1	24	1280	800	1	6	1	17	1	2	3	Economics
